Size,C.S. Inch,I.D. Inch,O.D. Inch,C.S. MM,I.D. MM,O.D. MM,Size
341,0.210,3.475,3.895,5.33,88.27,98.93,341
342,0.210,3.600,4.020,5.33,91.44,102.10,342
343,0.210,3.725,4.145,5.33,94.62,105.28,343
344,0.210,3.850,4.270,5.33,97.79,108.45,344
345,0.210,3.975,4.395,5.33,100.97,111.63,345
346,0.210,4.100,4.520,5.33,104.14,114.80,346
347,0.210,4.225,4.645,5.33,107.32,117.98,347
348,0.210,4.350,4.770,5.33,110.49,121.15,348
349,0.210,4.475,4.895,5.33,113.67,124.33,349
350,0.210,4.600,5.020,5.33,116.84,127.50,350
351,0.210,4.725,5.145,5.33,120.02,130.68,351
352,0.210,4.850,5.270,5.33,123.19,133.85,352
353,0.210,4.975,5.395,5.33,126.37,137.03,353
354,0.210,5.100,5.520,5.33,129.54,140.20,354
355,0.210,5.225,5.645,5.33,132.72,143.38,355
356,0.210,5.350,5.770,5.33,135.89,146.55,356
357,0.210,5.475,5.895,5.33,139.07,149.73,357
358,0.210,5.600,6.020,5.33,142.24,152.90,358
359,0.210,5.725,6.145,5.33,145.42,156.08,359
360,0.210,5.850,6.270,5.33,148.59,159.25,360
361,0.210,5.975,6.395,5.33,151.77,162.43,361
362,0.210,6.225,6.645,5.33,158.12,168.78,362
363,0.210,6.475,6.895,5.33,164.47,175.13,363
364,0.210,6.725,7.145,5.33,170.82,181.48,364
365,0.210,6.975,7.395,5.33,177.17,187.83,365
366,0.210,7.225,7.645,5.33,183.52,194.18,366
367,0.210,7.475,7.895,5.33,189.87,200.53,367
368,0.210,7.725,8.145,5.33,196.22,206.88,368
369,0.210,7.975,8.395,5.33,202.57,213.23,369
370,0.210,8.225,8.645,5.33,208.92,219.58,370
